S_casa,S_trasferta,Gol_casa,Gol_trasferta,MarC1,MarC2,MarC3,MarC4,MarC5,MarT1,MarT2,MarT3,MarT4,MarT5,AssC1,AssC2,AssC3,AssC4,AssC5,AssT1,AssT2,AssT3,AssT4,AssT5,TitC1,TitC2,TitC3,TitC4,TitC5,TitC6,TitC7,TitC8,TitC9,TitC10,TitC11,TitT1,TitT2,TitT3,TitT4,TitT5,TitT6,TitT7,TitT8,TitT9,TitT10,TitT11,SC1,SC2,SC3,ST1,ST2,ST3
Brescia,Atalanta,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genoa,Torino,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiorentina,Lecce,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus,Sassuolo,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inter,Spal,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazio,Udinese,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parma,Milan,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napoli,Bologna,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verona,Roma,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagliari,Sampdoria,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
