nm,no,co,r,d,pg,gol,ass
1,Wojcieh,Szczesny,portiere,1990-04-18,,,
77,Gianluigi,Buffon,portiere,1978-01-28,,,
31,Carlo,Pinsoglio,portiere,1990-03-16,,,
4,Matthijs,de Ligt,difensore,1999-08-12,,,
28,Merih,Demiral,difensore,1998-03-05,,,
19,Leonardo,Bonucci,difensore,1987-05-01,,,
24,Daniele,Rugani,difensore,1994-07-29,,,
3,Giorgio,Chiellini,difensore,1984-08-14,,,
12,,Alex Sandro,difensore,1991-01-26,,,
13,,Danilo,difensore,1991-07-15,,,
2,Mattia,De Sciglio,difensore,1992-10-20,,,
5,Miralem,Pjanic,centrocampista,1990-04-02,,,
30,Rodrigo,Bentancur,centrocampista,1997-06-25,,,
8,Aaron,Ramsey,centrocampista,1990-12-26,,,
25,Adrien,Rabiot,centrocampista,1995-04-02,,,
14,Blaise,Matuidi,centrocampista,1987-04-09,,,
6,Sami,Khedira,centrocampista,1987-04-04,,,
7,Cristiano,Ronaldo,attaccante,1985-02-05,,,
33,Federico,Bernardeschi,attaccante,1994-02-16,,,
11,Douglas,Costa,attaccante,1990-09-14,,,
16,Juan,Cuadrado,attaccante,1988-05-26,,,
10,Paulo,Dybala,attaccante,1993-11-15,,,
21,Gonzalo,Higuain,attaccante,1987-12-10,,,
