Numero maglia,Nome,Cognome,ruolo,Data di nascita,pg,gol,assist
1,Asmir,Begovic,portiere,1987-06-20,,,
90,Antonio,Donnarumma,portiere,1990-07-07,,,
99,Gianluigi,Donnarumma,portiere,1999-02-25,,,
2,Davide,Calabria,difensore,1996-12-06,,,
12,Andrea,Conti,difensore,1994-03-02,,,
43,Leonardo,Duarte,difensore,1996-07-17,,,
19,Theo,Hernandez,difensore,1997-10-06,,,
24,Simon,Kjaer,difensore,1989-03-26,,,
22,Mateo,Musacchio,difensore,1990-08-26,,,
13,Alessio,Romagnoli,difensore,1995-01-12,,,
4,Ismael,Bennacer,centrocampista,1997-12-01,,,
20,Lucas,Biglia,centrocampista,1986-01-30,,,
5,Giacomo,Bonaventura,centrocampista,1989-08-22,,,
10,Hakan,Calhanoglu,centrocampista,1994-02-08,,,
7,Samu,Castillejo,centrocampista,1995-01-18,,,
46,Matteo,Gabbia,centrocampista,1999-10-21,,,
79,Franck,Kessie,centrocampista,1996-12-19,,,
33,Rade,Krunic,centrocampista,1993-10-07,,,
39,Lucas,Paqueta,centrocampista,1997-08-27,,,
21,Zlatan,Ibrahimovic,attaccante,1981-10-03,,,
17,Rafael,Leao,attaccante,1999-06-10,,,
98,Daniel,Maldini,attaccante,2001-10-11,,,
18,Ante,Rebic,attaccante,1993-09-23,,,
56,Alexis,Saelemaekers,attaccante,1999-06-27,,,
